kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
537896,Třebestovice,651,422,419,45,0,1,23,0,32,25,8,3,3,0,0,43,0,1,26,143,1,2,9,1,0,3,2,45,3
537900,Úmyslovice,264,158,157,7,0,0,10,0,23,11,0,5,1,2,0,13,0,0,5,54,0,1,2,0,0,0,0,23,0
536083,Velenice,176,107,106,5,0,0,3,0,10,14,1,1,0,0,0,12,0,0,6,34,0,0,2,0,0,0,0,17,1
534871,Velenka,238,160,158,24,2,1,10,1,15,13,0,2,0,1,0,19,0,0,11,47,0,0,1,0,0,0,0,11,0
537942,Vestec,246,160,158,11,1,0,12,0,12,19,1,1,3,2,0,16,0,0,8,46,0,0,4,0,1,0,1,20,0
537951,Vlkov pod Oškobrhem,63,46,46,3,0,0,6,0,3,5,0,2,0,0,0,3,0,0,2,12,0,0,2,1,0,0,0,7,0
599611,Vrbice,141,104,104,12,0,0,6,0,3,9,2,1,1,0,0,6,0,0,4,45,0,0,10,0,1,0,0,4,0
537977,Vrbová Lhota,408,240,240,38,0,0,20,0,32,9,4,4,5,0,0,20,1,0,13,63,0,2,6,0,0,0,1,22,0
537985,Všechlapy,573,369,368,28,0,0,21,0,22,26,5,3,4,2,0,32,0,0,21,111,0,0,9,0,1,0,1,82,0
537993,Vykáň,315,183,181,21,10,0,11,0,9,15,2,6,1,0,0,15,0,0,7,55,0,2,3,0,1,0,1,21,1
534471,Záhornice,320,181,178,21,0,0,13,0,5,15,2,0,1,0,1,13,1,0,7,86,0,1,1,0,0,1,0,10,0
599697,Zbožíčko,181,103,103,4,0,0,10,0,6,10,4,1,0,0,0,12,0,1,2,35,0,0,0,0,1,0,2,15,0
534862,Zvěřínek,195,154,154,33,0,0,10,0,7,13,0,0,1,0,0,22,0,0,4,40,0,0,5,0,2,0,0,17,0
503410,Žitovlice,150,85,83,6,0,0,6,0,2,8,1,1,1,0,0,7,1,0,1,30,0,0,2,0,0,1,0,16,0
